ARKHE ENGINE — AUDITORIA DE PARIDADE / COBERTURA
=================================================
Arquivo: ARKHE_GAPS_5000.txt
Data: 2026-09-05
Objetivo: listar 5.000 pontos granulares para verificar o que ainda falta,
é parcial, ou precisa ser aprofundado no Arkhe em comparação com workflows
e capacidades de Roblox Studio, Unity 6 e a direção pública da Unreal Engine 6.

IMPORTANTE SOBRE O STATUS
-------------------------
Esta lista NÃO afirma que os 5.000 itens estão comprovadamente ausentes.
Ela é uma lista de GAP CANDIDATES / requisitos de auditoria: cada linha é uma
capacidade que precisa ser verificada no código real do Arkhe. O arquivo
ARKHE_TUDO_10K.txt declara 10.000 sistemas físicos e 10 milhões de sistemas
lógicos, mas a declaração textual, por si só, não comprova a implementação
profunda de cada capacidade.

O ARKHE_TUDO_10K.txt também declara um RBXL de 6,97 MB com 5.014 arquivos,
famílias como Terrain, Modeler, Animator, NPC, Physica, Visual, Audio,
Multiplayer, Optimize, Analytics, Economy, UI etc., além de DO15 e RRW.
Portanto, quando uma família já aparece no TXT, o status abaixo diz apenas
que existe uma família relacionada; não considera a capacidade específica
como comprovada.

FONTES / BASE DE COMPARAÇÃO
---------------------------
1. Roblox Studio — documentação oficial:
   Build, script, test, publish; editor de script; emulação de dispositivos;
   Data Model; serviços; Assistant; colaboração em tempo real; marketplace;
   rig/cage de avatares.
2. Roblox Terrain Editor — geração, importação de heightmap/colormap,
   biomas, cavernas e edição procedural/voxel.
3. Unity 6 — documentação oficial:
   renderização, iluminação, multiplayer, IA contextual, mobile/web,
   build profiles e workflows de produção.
4. Unreal Engine 6 — roadmap oficial de 2026:
   UE6 ainda está em desenvolvimento; Early Access é previsto para o fim
   de 2027. A direção pública inclui Verse, Scene Graph, interoperabilidade
   por padrões abertos e pipeline assistido por MCP/IA. Não tratar UE6 como
   produto final já lançado.
5. Unreal Engine 5.x atual — referência para capacidades já demonstradas,
   incluindo PCG + World Partition e outros workflows de produção.

CLASSIFICAÇÃO
-------------
[VERIFICAR] = precisa ser comprovado no código/editor.
[PARCIAL]   = há família relacionada, mas não há prova suficiente da
              implementação específica.
[ABSENTE NÃO COMPROVADO] = não aparece de forma específica no TXT; isso não
              significa que não exista em código não mostrado.
[PARIDADE]  = capacidade conhecida de referência que merece implementação
              ou equivalente nativo no Arkhe.

PRINCÍPIO ARKHE
---------------
Não copiar Unreal/Unity/Roblox literalmente. A implementação deve ser nativa
ao Arkhe e, quando fizer sentido, integrada a UTS/UES, Tese dos D, D-O15,
DFrame e Q-System. Tecnologias externas podem servir como referência ou
adapter, mas não devem virar a arquitetura central.

TOTAL DE ITENS NESTE ARQUIVO: 5000
=================================================

00001 | [ABSENTE NÃO COMPROVADO] | Editor de cena | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00020 | [ABSENTE NÃO COMPROVADO] | Transformações 3D | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00021 | [ABSENTE NÃO COMPROVADO] | Seleção e manipulação | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00022 | [ABSENTE NÃO COMPROVADO] | Seleção e manipulação | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00023 | [ABSENTE NÃO COMPROVADO] | Seleção e manipulação | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00024 | [ABSENTE NÃO COMPROVADO] | Seleção e manipulação | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00025 | [ABSENTE NÃO COMPROVADO] | Seleção e manipulação | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00026 | [ABSENTE NÃO COMPROVADO] | Seleção e manipulação | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00027 | [ABSENTE NÃO COMPROVADO] | Seleção e manipulação | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00028 | [ABSENTE NÃO COMPROVADO] | Seleção e manipulação | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00029 | [ABSENTE NÃO COMPROVADO] | Seleção e manipulação | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00030 | [ABSENTE NÃO COMPROVADO] | Seleção e manipulação | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00031 | [PARCIAL] | Hierarquia de cena | Editor workflow: criação e configuração pelo editor sem depender de código manual | Família relacionada declarada no TXT: UI; capacidade específica não comprovada apenas pelo nome.
00032 | [PARCIAL] | Hierarquia de cena | API/runtime: disponibilidade equivalente durante a execução | Família relacionada declarada no TXT: UI; capacidade específica não comprovada apenas pelo nome.
00033 | [PARCIAL] | Hierarquia de cena | UI/UX: painel, ferramenta ou fluxo visual dedicado | Família relacionada declarada no TXT: UI; capacidade específica não comprovada apenas pelo nome.
00034 | [PARCIAL] | Hierarquia de cena | Persistência: salvar, reabrir e migrar o estado sem perda | Família relacionada declarada no TXT: UI; capacidade específica não comprovada apenas pelo nome.
00035 | [PARCIAL] | Hierarquia de cena | Automação: execução por script, CLI ou API | Família relacionada declarada no TXT: UI; capacidade específica não comprovada apenas pelo nome.
00036 | [PARCIAL] | Hierarquia de cena | Validação: erros, avisos, constraints e diagnóstico verificáveis | Família relacionada declarada no TXT: UI; capacidade específica não comprovada apenas pelo nome.
00037 | [PARCIAL] | Hierarquia de cena | Performance: métricas, orçamento e profiling específicos | Família relacionada declarada no TXT: UI; capacidade específica não comprovada apenas pelo nome.
00038 | [PARCIAL] | Hierarquia de cena | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Família relacionada declarada no TXT: UI; capacidade específica não comprovada apenas pelo nome.
00039 | [PARCIAL] | Hierarquia de cena | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Família relacionada declarada no TXT: UI; capacidade específica não comprovada apenas pelo nome.
00040 | [PARCIAL] | Hierarquia de cena | Testes: teste automatizado, regressão e caso-limite verificável | Família relacionada declarada no TXT: UI; capacidade específica não comprovada apenas pelo nome.
00041 | [ABSENTE NÃO COMPROVADO] | Inspector de propriedades | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00042 | [ABSENTE NÃO COMPROVADO] | Inspector de propriedades | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00043 | [ABSENTE NÃO COMPROVADO] | Inspector de propriedades | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00044 | [ABSENTE NÃO COMPROVADO] | Inspector de propriedades | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00045 | [ABSENTE NÃO COMPROVADO] | Inspector de propriedades | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00046 | [ABSENTE NÃO COMPROVADO] | Inspector de propriedades | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00047 | [ABSENTE NÃO COMPROVADO] | Inspector de propriedades | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00048 | [ABSENTE NÃO COMPROVADO] | Inspector de propriedades | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00049 | [ABSENTE NÃO COMPROVADO] | Inspector de propriedades | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00050 | [ABSENTE NÃO COMPROVADO] | Inspector de propriedades | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00051 | [ABSENTE NÃO COMPROVADO] | Viewport | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00052 | [ABSENTE NÃO COMPROVADO] | Viewport | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00053 | [ABSENTE NÃO COMPROVADO] | Viewport | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00054 | [ABSENTE NÃO COMPROVADO] | Viewport | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00055 | [ABSENTE NÃO COMPROVADO] | Viewport | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00056 | [ABSENTE NÃO COMPROVADO] | Viewport | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00057 | [ABSENTE NÃO COMPROVADO] | Viewport | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00058 | [ABSENTE NÃO COMPROVADO] | Viewport | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00059 | [ABSENTE NÃO COMPROVADO] | Viewport | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00060 | [ABSENTE NÃO COMPROVADO] | Viewport | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00061 | [ABSENTE NÃO COMPROVADO] | Gizmos | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00062 | [ABSENTE NÃO COMPROVADO] | Gizmos | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00063 | [ABSENTE NÃO COMPROVADO] | Gizmos | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00064 | [ABSENTE NÃO COMPROVADO] | Gizmos | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00065 | [ABSENTE NÃO COMPROVADO] | Gizmos | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00066 | [ABSENTE NÃO COMPROVADO] | Gizmos | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00067 | [ABSENTE NÃO COMPROVADO] | Gizmos | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00068 | [ABSENTE NÃO COMPROVADO] | Gizmos | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00069 | [ABSENTE NÃO COMPROVADO] | Gizmos | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00070 | [ABSENTE NÃO COMPROVADO] | Gizmos | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00071 | [ABSENTE NÃO COMPROVADO] | Snapping | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00072 | [ABSENTE NÃO COMPROVADO] | Snapping | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00073 | [ABSENTE NÃO COMPROVADO] | Snapping | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00074 | [ABSENTE NÃO COMPROVADO] | Snapping | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00075 | [ABSENTE NÃO COMPROVADO] | Snapping | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00076 | [ABSENTE NÃO COMPROVADO] | Snapping | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00077 | [ABSENTE NÃO COMPROVADO] | Snapping | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00078 | [ABSENTE NÃO COMPROVADO] | Snapping | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00079 | [ABSENTE NÃO COMPROVADO] | Snapping | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00080 | [ABSENTE NÃO COMPROVADO] | Snapping | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00081 | [PARCIAL] | Modelagem poligonal | Editor workflow: criação e configuração pelo editor sem depender de código manual | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00082 | [PARCIAL] | Modelagem poligonal | API/runtime: disponibilidade equivalente durante a execução | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00083 | [PARCIAL] | Modelagem poligonal | UI/UX: painel, ferramenta ou fluxo visual dedicado | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00084 | [PARCIAL] | Modelagem poligonal | Persistência: salvar, reabrir e migrar o estado sem perda | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00085 | [PARCIAL] | Modelagem poligonal | Automação: execução por script, CLI ou API | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00086 | [PARCIAL] | Modelagem poligonal | Validação: erros, avisos, constraints e diagnóstico verificáveis | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00087 | [PARCIAL] | Modelagem poligonal | Performance: métricas, orçamento e profiling específicos | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00088 | [PARCIAL] | Modelagem poligonal | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00089 | [PARCIAL] | Modelagem poligonal | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00090 | [PARCIAL] | Modelagem poligonal | Testes: teste automatizado, regressão e caso-limite verificável | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00091 | [PARCIAL] | Modelagem procedural | Editor workflow: criação e configuração pelo editor sem depender de código manual | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00092 | [PARCIAL] | Modelagem procedural | API/runtime: disponibilidade equivalente durante a execução | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00093 | [PARCIAL] | Modelagem procedural | UI/UX: painel, ferramenta ou fluxo visual dedicado | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00094 | [PARCIAL] | Modelagem procedural | Persistência: salvar, reabrir e migrar o estado sem perda | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00095 | [PARCIAL] | Modelagem procedural | Automação: execução por script, CLI ou API | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00096 | [PARCIAL] | Modelagem procedural | Validação: erros, avisos, constraints e diagnóstico verificáveis | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00097 | [PARCIAL] | Modelagem procedural | Performance: métricas, orçamento e profiling específicos | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00098 | [PARCIAL] | Modelagem procedural | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00099 | [PARCIAL] | Modelagem procedural | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00100 | [PARCIAL] | Modelagem procedural | Testes: teste automatizado, regressão e caso-limite verificável | Família relacionada declarada no TXT: Modeler; capacidade específica não comprovada apenas pelo nome.
00101 | [ABSENTE NÃO COMPROVADO] | Sculpting | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00102 | [ABSENTE NÃO COMPROVADO] | Sculpting | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00103 | [ABSENTE NÃO COMPROVADO] | Sculpting | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00104 | [ABSENTE NÃO COMPROVADO] | Sculpting | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00105 | [ABSENTE NÃO COMPROVADO] | Sculpting | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00106 | [ABSENTE NÃO COMPROVADO] | Sculpting | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00107 | [ABSENTE NÃO COMPROVADO] | Sculpting | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00108 | [ABSENTE NÃO COMPROVADO] | Sculpting | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00109 | [ABSENTE NÃO COMPROVADO] | Sculpting | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00110 | [ABSENTE NÃO COMPROVADO] | Sculpting | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00111 | [ABSENTE NÃO COMPROVADO] | Retopologia | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00112 | [ABSENTE NÃO COMPROVADO] | Retopologia | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00113 | [ABSENTE NÃO COMPROVADO] | Retopologia | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00114 | [ABSENTE NÃO COMPROVADO] | Retopologia | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00115 | [ABSENTE NÃO COMPROVADO] | Retopologia | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00116 | [ABSENTE NÃO COMPROVADO] | Retopologia | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00117 | [ABSENTE NÃO COMPROVADO] | Retopologia | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00118 | [ABSENTE NÃO COMPROVADO] | Retopologia | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00119 | [ABSENTE NÃO COMPROVADO] | Retopologia | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00120 | [ABSENTE NÃO COMPROVADO] | Retopologia | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00121 | [ABSENTE NÃO COMPROVADO] | UV | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00122 | [ABSENTE NÃO COMPROVADO] | UV | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00123 | [ABSENTE NÃO COMPROVADO] | UV | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00124 | [ABSENTE NÃO COMPROVADO] | UV | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00125 | [ABSENTE NÃO COMPROVADO] | UV | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
00126 | [ABSENTE NÃO COMPROVADO] | UV | Validação: erros, avisos, constraints e diagnóstico verificáveis | Não evidenciado de forma específica no TXT.
00127 | [ABSENTE NÃO COMPROVADO] | UV | Performance: métricas, orçamento e profiling específicos | Não evidenciado de forma específica no TXT.
00128 | [ABSENTE NÃO COMPROVADO] | UV | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Não evidenciado de forma específica no TXT.
00129 | [ABSENTE NÃO COMPROVADO] | UV | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Não evidenciado de forma específica no TXT.
00130 | [ABSENTE NÃO COMPROVADO] | UV | Testes: teste automatizado, regressão e caso-limite verificável | Não evidenciado de forma específica no TXT.
00131 | [PARCIAL] | Materiais | Editor workflow: criação e configuração pelo editor sem depender de código manual | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00132 | [PARCIAL] | Materiais | API/runtime: disponibilidade equivalente durante a execução | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00133 | [PARCIAL] | Materiais | UI/UX: painel, ferramenta ou fluxo visual dedicado | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00134 | [PARCIAL] | Materiais | Persistência: salvar, reabrir e migrar o estado sem perda | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00135 | [PARCIAL] | Materiais | Automação: execução por script, CLI ou API | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00136 | [PARCIAL] | Materiais | Validação: erros, avisos, constraints e diagnóstico verificáveis | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00137 | [PARCIAL] | Materiais | Performance: métricas, orçamento e profiling específicos | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00138 | [PARCIAL] | Materiais | Escalabilidade: comportamento em projetos/mapas/quantidades grandes | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00139 | [PARCIAL] | Materiais | Colaboração: edição concorrente, presença, histórico ou resolução de conflitos quando aplicável | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00140 | [PARCIAL] | Materiais | Testes: teste automatizado, regressão e caso-limite verificável | Família relacionada declarada no TXT: Visual; capacidade específica não comprovada apenas pelo nome.
00141 | [ABSENTE NÃO COMPROVADO] | Shader Graph | Editor workflow: criação e configuração pelo editor sem depender de código manual | Não evidenciado de forma específica no TXT.
00142 | [ABSENTE NÃO COMPROVADO] | Shader Graph | API/runtime: disponibilidade equivalente durante a execução | Não evidenciado de forma específica no TXT.
00143 | [ABSENTE NÃO COMPROVADO] | Shader Graph | UI/UX: painel, ferramenta ou fluxo visual dedicado | Não evidenciado de forma específica no TXT.
00144 | [ABSENTE NÃO COMPROVADO] | Shader Graph | Persistência: salvar, reabrir e migrar o estado sem perda | Não evidenciado de forma específica no TXT.
00145 | [ABSENTE NÃO COMPROVADO] | Shader Graph | Automação: execução por script, CLI ou API | Não evidenciado de forma específica no TXT.
